"FC"	"Gene.Name"	"Gene.ID"	"appearances"
5.45011696385148e+63	"CYP24A1"	1591	"14"
6.07851670786181	"PADI3"	51702	"8"
4.76767306454132	"IL1RL1"	9173	"9"
4.44860234351264	"SEMA3B"	7869	"8"
4.06777531789721	"THBD"	7056	"10"
4.05061373830649	"SERPINB1"	1992	"12"
3.79285187824992	"G6PD"	2539	"10"
3.31785532499423	"CLMN"	79789	"12"
3.26726034595144	"EFL1"	79631	"13"
3.11011349831171	"ARHGEF28"	64283	"9"
3.08663692775926	"CDA"	978	"8"
2.85260630353299	"G0S2"	50486	"8"
2.79890104144475	"TRIM56"	81844	"9"
2.77559643082691	"ZBTB38"	253461	"8"
2.75802607627657	"WSB1"	26118	"8"
2.70244295834482	"TCEA2"	6919	"8"
2.61344083392544	"PDPN"	10630	"9"
2.59707760508301	"FBLIM1"	54751	"9"
2.51512965452912	"GRK5"	2869	"9"
2.39724351641866	"KIF26A"	26153	"9"
2.37170374942805	"PIK3R1"	5295	"8"
2.12125102456403	"FTH1"	2495	"8"
-2.65243182723853	"KITLG"	4254	"6"
