"dataset"	"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"species"	"type.x"	"treatmentTime"	"cellName"	"sex"	"GEOlink"	"papers"	"GEO"
"E.Pr.24h.1"	-1.62932728185937	"ABCG1"	"9619"	0.00141867322621629	"Homo_sapiens"	"epithelial"	"24h"	"LNCaP"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.3"	-1.68777773633791	"ABCG1"	"9619"	7.72096834092799e-06	"Homo_sapiens"	"epithelial"	"24h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.48h.1"	-1.93202453612971	"ABCG1"	"9619"	2.55750851118016e-07	"Homo_sapiens"	"epithelial"	"48h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.6h.1"	-2.17438276486481	"ABCG1"	"9619"	1.64874259966298e-08	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.HN.24h.1"	4.53974077	"ARHGEF28"	"64283"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	4.023145602	"ARHGEF28"	"64283"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.59777409	"ARHGEF28"	"64283"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	2.921086863	"ARHGEF28"	"64283"	0.930349438	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.182832126	"ARHGEF28"	"64283"	0.608172873	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.272841784	"ARHGEF28"	"64283"	0.608172873	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	2.00986319596389	"ARHGEF28"	"64283"	0.0191836918839517	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Br.20h.1"	2.06992860615504	"CDA"	"978"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.50h.1"	2.4703595883586	"CDA"	"978"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	2.27864134987429	"CDA"	"978"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
