"dataset"	"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"species"	"type.x"	"treatmentTime"	"cellName"	"sex"	"GEOlink"	"papers"	"GEO"
"E.HN.24h.1"	4.53974077	"ARHGEF28"	"64283"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	4.023145602	"ARHGEF28"	"64283"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.59777409	"ARHGEF28"	"64283"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	2.921086863	"ARHGEF28"	"64283"	0.930349438	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.182832126	"ARHGEF28"	"64283"	0.608172873	NA	NA	NA	NA	NA	NA	NA	NA
"E.HN.24h.1"	3.272841784	"ARHGEF28"	"64283"	0.608172873	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	2.00986319596389	"ARHGEF28"	"64283"	0.0191836918839517	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Br.20h.1"	7.33380556073422e+49	"CYP24A1"	"1591"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.24h.1"	1.50077311351302	"CYP24A1"	"1591"	0.000230587617440216	"Homo_sapiens"	"epithelial"	"24h"	"MCF7"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.2"	129.208756746063	"CYP24A1"	"1591"	4.32717830785661e-08	"Homo_sapiens"	"epithelial"	"24h"	"MDA-MB-31"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.3"	129.208756746063	"CYP24A1"	"1591"	4.32717830785661e-08	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.24h.4"	12.9548403596674	"CYP24A1"	"1591"	6.82678457110199e-05	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.50h.1"	7.6301637493914e+64	"CYP24A1"	"1591"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	6.64540902038499e+51	"CYP24A1"	"1591"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.HN.24h.1"	18.51455442	"CYP24A1"	"1591"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	52.3429782565435	"CYP24A1"	"1591"	1.01111779695294e-07	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.24h.1"	438.362328115199	"CYP24A1"	"1591"	2.20518968031379e-10	"Homo_sapiens"	"epithelial"	"24h"	"LNCaP"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.2"	113.240807028661	"CYP24A1"	"1591"	1.19127188806735e-13	"Homo_sapiens"	"epithelial"	"24h"	"prostosphere"	"male"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60956"	""	"GSE60956"
"E.Pr.24h.3"	26.5007422232076	"CYP24A1"	"1591"	1.57876642289992e-13	"Homo_sapiens"	"epithelial"	"24h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.48h.1"	22.7332078447566	"CYP24A1"	"1591"	4.19047953234447e-13	"Homo_sapiens"	"epithelial"	"48h"	"RWPE1"	NA	NA	NA	NA
"E.Pr.6h.1"	286.351609585063	"CYP24A1"	"1591"	1.56465138596828e-18	"Homo_sapiens"	"epithelial"	"6h"	"RWPE1"	NA	NA	NA	NA
"E.Br.20h.1"	3.17083882641581	"EFL1"	"79631"	1	"Homo_sapiens"	"epithelial"	"20h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.24h.2"	2.03333578859621	"EFL1"	"79631"	0.00792383159185407	"Homo_sapiens"	"epithelial"	"24h"	"MDA-MB-31"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53975"	""	"GSE53975"
"E.Br.24h.3"	2.03333578859621	"EFL1"	"79631"	0.00792383159185407	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.24h.4"	1.56906982259569	"EFL1"	"79631"	0.0699437295919559	"Homo_sapiens"	"epithelial"	"24h"	"primaryBreastCancerFragments"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27220"	""	"GSE27220"
"E.Br.50h.1"	3.72806379855709	"EFL1"	"79631"	1	"Homo_sapiens"	"epithelial"	"50h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.Br.8h.1"	4.652115645783	"EFL1"	"79631"	1	"Homo_sapiens"	"epithelial"	"8h"	"SkBr3"	"female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
"E.HN.24h.1"	9.521727202	"EFL1"	"79631"	0.408474318	NA	NA	NA	NA	NA	NA	NA	NA
"E.Lu.24h.1"	2.5369579728552	"EFL1"	"79631"	0.00139680395087261	"Homo_sapiens"	"epithelial"	"24h"	"AlveloarTypeIIcells"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46749"	"PMID: 25903964"	"GSE46749"
"E.Pr.24h.3"	1.70519506310011	"EFL1"	"79631"	3.89445452485636e-06	"Homo_sapiens"	"epithelial"	"24h"	"RWPE1"	NA	NA	NA	NA
