"Old.name"	"name"	"species"	"type.x"	"treatmentTime"	"cancer"	"primary"	"organ"	"cellName"	"sex"	"type.y"	"GEOlink"	"papers"	"GEO"
"ARR1"	"E.Liv.8h.1"	"Homo_sapiens"	"epithelial"	"8h"	1	0	"liver"	"HEPG2"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"F.F.36h.2"	"Homo_sapiens"	"fibroblast"	"36h"	0	1	"gum"	"AG09319"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.36h.4"	"Homo_sapiens"	"lymphocytic"	"36h"	1	1	"blood"	"GM18054"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.36h.1"	"Homo_sapiens"	"lymphocytic"	"36h"	0	1	"blood"	"GM07019"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.8h.4"	"Homo_sapiens"	"lymphocytic"	"8h"	1	1	"blood"	"GM18054"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"M.Neutr.36h.1"	"Homo_sapiens"	"myeloid"	"36h"	1	0	"blood"	"HL60"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"F.F.8h.1"	"Homo_sapiens"	"fibroblast"	"8h"	0	1	"toe"	"AG09309"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"E.Liv.36h.1"	"Homo_sapiens"	"epithelial"	"36h"	1	0	"liver"	"HEPG2"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.36h.3"	"Homo_sapiens"	"lymphocytic"	"36h"	1	1	"blood"	"GM12878"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"F.F.36h.1"	"Homo_sapiens"	"fibroblast"	"36h"	0	1	"toe"	"AG09309"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.8h.2"	"Homo_sapiens"	"lymphocytic"	"8h"	1	1	"blood"	"GM07348"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"F.F.8h.2"	"Homo_sapiens"	"fibroblast"	"8h"	0	1	"gum"	"AG09319"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"M.Neutr.8h.1"	"Homo_sapiens"	"myeloid"	"8h"	1	0	"blood"	"HL60"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"M.Gran.8h.1"	"Homo_sapiens"	"myeloid"	"8h"	1	0	"blood"	"K562"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.8h.1"	"Homo_sapiens"	"lymphocytic"	"8h"	0	1	"blood"	"GM07019"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.8h.3"	"Homo_sapiens"	"lymphocytic"	"8h"	1	1	"blood"	"GM12878"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"L.B.36h.2"	"Homo_sapiens"	"lymphocytic"	"36h"	1	1	"blood"	"GM07348"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"ARR1"	"M.Gran.36h.1"	"Homo_sapiens"	"myeloid"	"36h"	1	0	"blood"	"K562"	"female/male"	"lymphocytic/fibroblast/myeloid/epithelium"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22176"	"PMID: 20736230"	"GSE22176"
"EB1"	"E.Br.50h.1"	"Homo_sapiens"	"epithelial"	"50h"	1	0	"breast"	"SkBr3"	"female"	"epithelial"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19670"	"PMID: 20227041"	"GSE19670"
