"dataset"	"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"cellType"	"species"	"type.x"	"treatmentTime"	"cellName"	"sex"	"GEOlink"	"papers"	"GEO"
"L.Pbmc.24h.1"	1.59612342961615	"APBB3"	"10307"	0.00131375898649884	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	1.8284685471918	"APBB3"	"10307"	0.00240669221793192	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.54329312666344	"APBB3"	"10307"	2.11189643408391e-19	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	1.62131789552219	"APBB3"	"10307"	0.0244846855174501	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	1.71557104935223	"APBB3"	"10307"	0.000183845177818296	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	2.9058655277115	"BCAT1"	"586"	2.48439999459829e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	3.04341684154616	"BCAT1"	"586"	6.79543566860209e-06	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.49312487141225	"BCAT1"	"586"	2.19219715946604e-10	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	2.36796476417687	"BCAT1"	"586"	0.000303164909258484	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.8h.2"	2.43442341305023	"BCAT1"	"586"	4.07506875665953e-05	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.1"	3.49957823445693	"C19orf59"	"199675"	0.00987043216738645	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.24h.2"	3.7030340683534	"C19orf59"	"199675"	0.00657780328071793	"pbmc"	"Homo_sapiens"	"myeloid"	"24h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
"L.Pbmc.6h.1"	1.41359929900455	"C19orf59"	"199675"	4.09954299143616e-07	"pbmc"	"Homo_sapiens"	"lymphocytic/myeloid"	"6h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82023"	"PMID: 27454520"	"GSE82023"
"L.Pbmc.8h.1"	4.04271791178394	"C19orf59"	"199675"	0.00574913334580062	"pbmc"	"Homo_sapiens"	"myeloid"	"8h"	"PBMCs"	"male/female"	"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi"	"PMID: 24116131"	"GSE50012"
