"FC"	"Gene.Name"	"Gene.ID"	"appearances"
13.4407928920034	"FBP1"	2203	5
12.231103242437	"CYP24A1"	1591	5
8.97310223191815	"G0S2"	50486	5
5.86797546616153	"THBD"	7056	5
5.27184256979649	"CA2"	760	5
4.90202121577016	"CD14"	929	5
4.67307236485062	"DHRS9"	10170	5
4.55622277175687	"OSM"	5008	5
4.44564148320685	"TKTL1"	8277	5
3.80426350724724	"CAMP"	820	5
3.50363084523515	"EDN1"	1906	5
3.47137224806291	"CD93"	22918	6
3.37546296646816	"LAMB3"	3914	5
3.28596080783838	"ORM1"	5004	4
3.25785313754321	"PTGES"	9536	4
3.25739088599557	"SEMA6B"	10501	5
3.24729854586979	"C19orf59"	199675	5
3.21082241308512	"PFKFB4"	5210	5
3.09049928129017	"MAP3K4"	4216	5
3.08775464583927	"BMP6"	654	4
2.96578047377572	"TSPAN3"	10099	5
2.87165904098092	"KIAA1199"	57214	5
2.7488684871748	"TREM1"	54210	5
2.70071145688693	"FUCA1"	2517	5
2.69979148516923	"DDEF2"	8853	5
2.69436509513654	"ITGAM"	3684	5
2.67925362605436	"CRISPLD2"	83716	5
2.56862624817805	"LOC729049"	729049	5
2.56272659674813	"EFTUD1"	79631	5
2.54244473800854	"FAM116B"	414918	5
2.4489590835794	"BCAT1"	586	5
2.27735156196489	"CHST7"	56548	5
2.1104817574469	"HK2"	3099	5
2.09372712302556	"CLMN"	79789	5
2.09238246851629	"DIRC2"	84925	5
2.03123135211992	"TMEM38B"	55151	4
1.99854339915208	"AGPAT4"	56895	4
1.9910346960117	"EDG2"	1902	5
1.98656797272516	"DYSF"	8291	4
1.92549713300605	"MAPK13"	5603	4
1.88620319423407	"PYCARD"	29108	4
1.84760570518733	"SEMA3C"	10512	4
1.83275105653192	"CRADD"	8738	5
1.81648523828215	"STS-1"	84959	4
1.79882376147884	"NOD2"	64127	5
1.79335970177894	"SOAT1"	6646	4
1.7925043321787	"FAM20C"	56975	4
1.76299750972508	"NRIP1"	8204	5
1.7620630954047	"LOC644423"	644423	4
1.71908017275225	"SLC31A1"	1317	4
1.69972158682363	"TSC22D1"	8848	6
1.68052975286248	"SNTB1"	6641	4
1.66095480966916	"APBB3"	10307	5
1.6584942007683	"MST150"	85027	4
1.65640415890638	"PFDN1"	5201	5
1.60423229580099	"ELL2"	22936	4
1.59235436852671	"ENTPD7"	57089	5
1.57616770997247	"CLCF1"	23529	4
-1.59238731164295	"FAM129B"	64855	5
-1.62948622369083	"CDGAP"	57514	4
-1.65562571933907	"FAM49A"	81553	5
-1.72631888635974	"NAGK"	55577	4
-1.73369702462104	"MARCKSL1"	65108	4
-1.7361143362238	"IL19"	29949	4
-1.76235529739178	"HAMP"	57817	5
-1.79068592293556	"C3orf59"	151963	4
-1.79889683938213	"CSF2RA"	1438	5
-1.84154841261412	"LGALS1"	3956	4
-1.84336685210216	"SASH1"	23328	4
-1.88461468835493	"GPR162"	27239	5
-1.91357724140503	"CDKN1A"	1026	5
-1.96405780444428	"P2RY5"	10161	4
-2.029631715074	"IL4I1"	259307	4
-2.0438792190567	"ADM"	133	4
-2.07137230377696	"IER3"	8870	5
-2.10089922271531	"DPYSL2"	1808	4
-2.20566654096382	"FPRL1"	2358	5
-2.26578747203556	"CD36"	948	5
-2.33136314173117	"TGFBI"	7045	4
-2.45440748189915	"LMNA"	4000	5
-2.49615690781172	"RTN1"	6252	4
-2.70772393186297	"CLEC4A"	50856	4
-2.73162774587724	"TLR8"	51311	4
